Manuscript,coteString,
http://rdfh.ch/0112/9KN8pBaORYuBAFOrxd6ysg,Bibliothèque Roud,
http://rdfh.ch/0112/kB2oLZSVRIC9jOecOilA2g,Bibliothèque Roud,
http://rdfh.ch/0112/2LZhJ9ZNTQ-uOM7oOEv4RA,Bibliothèque Roud,
http://rdfh.ch/0112/0JzPwTp3S7WuUP93FYhpug,MS 2 B/2a,
http://rdfh.ch/0112/EifQJhnNSWqtuIx5VHeZLQ,MS 6 F3/3a,
http://rdfh.ch/0112/4GiMRyKURs-VI1VHaoPrTg,MS 6 A1/4a,
http://rdfh.ch/0112/yWdXuc9dTziM4lHV43ZlFQ,Lettres de Gustave Roud,
http://rdfh.ch/0112/brrjzW08RHC3FrJpTQdkVg,Lettres de Gustave Roud,
http://rdfh.ch/0112/EjDFdkI4T4eK5dyYQbI4ng,Lettres de Gustave Roud,
http://rdfh.ch/0112/I2lIZtIfSSynR3eTWPHXZQ,MS 2 D/1a,
http://rdfh.ch/0112/iLSicc0KSn-r9Bf6ab43aA,MS 2 E/10a,
http://rdfh.ch/0112/AdnLDNS8SveB3t5uZh0VPg,COTE MANQUANTE,
http://rdfh.ch/0112/R5mi2wpSQGGbCw2hZT5NHA,MS 2 F/4a,
http://rdfh.ch/0112/8GpfTLMqRFqyk1G2S0whJg,MS 2 F/5r,
http://rdfh.ch/0112/4Hhs4N7sQoy6HD4PKWawaw,MS 4 H/7a,
http://rdfh.ch/0112/t6dHpFwyRlOU48EoEAquCg,MS 4 F/24a,
http://rdfh.ch/0112/KMSVMhVVRQSvUSrzlFhU7Q,MS 4 F/29a,
http://rdfh.ch/0112/GmsUqJj_Tea--1WDKNtzFw,MS 4 F/30a,
http://rdfh.ch/0112/dTCgUuRMS3CT6r_COyoJVg,MS 4 F/28a,
http://rdfh.ch/0112/hetCOtDaQUq_E5VKSIkPKw,MS 4 F/29a,
http://rdfh.ch/0112/pOfx4_jsSJud5wjcoWF--g,A compléter au cours du travail,
http://rdfh.ch/0112/Hi2dp_1JTPq5aXuLE6pxNg,CRJ 42,
http://rdfh.ch/0112/XEwKWzH8Qr6sMPh-zIoVKg,MS 4 H/1a,
http://rdfh.ch/0112/a8EuF5BwTUaBm12YC1k9EA,MS 4 A/5a,
