pub,pubLabel
http://rdfh.ch/0112/KL4wfiWITaiD_vOSfjpOYQ,pub_B. L._Le retour de Gustave Roud_Le Commerçant_1968-03
http://rdfh.ch/0112/umr3pNDvSZG4fXAMuxRsaQ,"pub_Roud Gustave_Mirage d'hiver _Littératures de langue française hors de France , Anthologie didactique_1976"
http://rdfh.ch/0112/-1iEsqtuS-SowC2an_DyRA,pub_Roud Gustave_Deux poèmes du temps de la moisson_Nos plumes et nos presses: anthologie des écrivains et des imprimeurs_1934
http://rdfh.ch/0112/S0FK89T3Qn6dnCNGXdOPMw,"pub_Roud Gustave_[La lente conquête qu'un peintre entreprend…]_Palézieux. Catalogue de l'exposition au Musée Jenisch, Vevey, du 21 mai au 6 août 1989_1989"
http://rdfh.ch/0112/8JxZz3sVSvGE0V6kGiqeoQ,"pub_Roud Gustave_Bain d'un faucheur, Le cerisier_Poètes d'aujourd'hui_1947"
http://rdfh.ch/0112/osvcO4dMQlaJ0TuFr0toKw,"pub_Hölderlin Friedrich_""Prière aux Parques"", ""Le cimetière""_Poètes d'aujourd'hui_1947"
http://rdfh.ch/0112/SIR_JxgsTtSRmq-rCEfa-A,"pub_Roud Gustave_Des Cahiers vaudois à Aujourd'hui_Préface à C.F. Ramuz, Lettres _1959"
http://rdfh.ch/0112/Ql1TFJKzSQScWDYVVJ1oaw,pub_Roud Gustave_Deux feuillets de journal_Présence de Ramuz_1951-10
http://rdfh.ch/0112/JlVveuZERyWZQEE9s6jZ8w,"pub_Depoissier Claude_Auteurs de chez nous, ""Requiem"" de Gustave Roud_Radio, Je vois tout_1968-02-15"
http://rdfh.ch/0112/dMp8epgqR-iRRKRRiGf9Xw,"pub_s.n.a._""Requiem"" par Gustave Roud_Radio, Je vois tout_1968-02-15"
http://rdfh.ch/0112/sM68ZNt3RQOOFsjryoHklQ,"pub_Roud Gustave_Deux feuillets de journal, Hommage, Au temps d'Aujourd'hui, Poétique, La Présence perdue, Voilà vingt ans s'éteignait le grand Ramuz_Ramuz vu par ses amis: Adrien Bovy, Charles-Albert Cingria, Edmond Gilliard, Paul Budry, Ernest Ansermet, René Auberjonois, Albert Muret, Elie Gagenbin, Henri-Louis Mermod, Gustave Roud_1988"
http://rdfh.ch/0112/a5QWH0mQQDuRtCOwq4u4wA,"pub_Roud Gustave, Simond Daniel_Pareil à un bel arbre_Ramuz, Charles Ferdinand, Œuvres complètes_1967"
http://rdfh.ch/0112/dZcs2PW1Sm23BBkXEyAQ7g,"pub_Pache Roger_Mes relations d'amitié avec Gustave Roud,_Rencontres et Souvenirs, 1914-1984_1985"
http://rdfh.ch/0112/r0hbAb2iTTqz7MPMMlX_Sw,"pub_Roud Gustave_Sur Auberjonois_Rétrospective Auberjonois , au Musée cantonal des Beaux-Arts de Lausanne, du 6 septembre au 19 octobre 1958_1958"
http://rdfh.ch/0112/Rp6lMnWNRPCYGJvf7c8WGg,pub_Rilke Rainer Maria_Lettre sur Muzot. Deux lettres à Mademoiselle X_Rilke en Valais_1946
http://rdfh.ch/0112/heJB9NoGSli01V97qUKuLw,"pub_Roud Gustave_Air de la solitude_S. Corinna Bille, Maurice Chappaz_1953-01"
http://rdfh.ch/0112/wrAkfs1jThKfzcLUbZ6DSg,"pub_Roud Gustave_Sur la poésie de Maurice Chappaz_S. Corinna Bille, Maurice Chappaz_1953-01"
http://rdfh.ch/0112/3OqIoHajTpeYyi0dmjlusw,"pub_Roud Gustave_Bain d'un faucheur_Siegfried Lang, Schweizer Dichtung im Querschnitt_1938"
http://rdfh.ch/0112/ZTm9miD6TPWUvxIUvmBEYw,"pub_Roud Gustave_Le Peintre Steven-Paul Robert_Steven-Paul Robert, 1896, ""Les Cahiers d'Art-Documents""_1966"
http://rdfh.ch/0112/Cdu3LVlkSlK1r9AXLEuATQ,"pub_Bucher Werner_Ein welscher Dichter, der zu entdecken wäre_Tages-Anzeiger_1972-10-27"
http://rdfh.ch/0112/ZlV1kOL1TzCl93o4LqMIOw,pub_Roud Gustave_D'une marche de nuit ancienne_Annuaire_1959
http://rdfh.ch/0112/O6I6JpAjRl6b0iMnx41Ngg,"pub_Roud Gustave_Appel d'hiver_Poésie 1, La poésie française de Suisse_1973-05"
http://rdfh.ch/0112/IL7aVmtsRbKKuUnuV1i35Q,pub_[Traductions de poèmes de Hölderlin et Brentano]_Le romantisme allemand_Les cahiers du sud_1937
http://rdfh.ch/0112/SSiKOfNTTgGJMwqX3yY2qw,pub_Roud Gustave_[Traductions de poèmes de Hölderlin et Brentano]_Le romantisme allemand_1949
http://rdfh.ch/0112/xe38MqRXRvqKu8K4JuSo5g,"pub_Humeau Edmond_Hommage à Roud_Arts (rubrique ""Courrier des lettres"")_1950-11-10"
http://rdfh.ch/0112/v3cyx-15Rzi2wFg3NhBqDw,pub_Sueur D. Yves_Gustave Roud: La poésie de la terre
http://rdfh.ch/0112/Q1N5R8enT1Oggg6CSg_Btw,"pub_Roud Gustave_Seconde victoire de Catherine Colomb, écrivain suisse. L’envoûtement mystérieux des Esprits de la terre_Arts_1953"
http://rdfh.ch/0112/IqZRdWezT92nMehY8YhJ5Q,pub_FAKE
http://rdfh.ch/0112/5-OU_iV8Q0moSPVha7JnTg,pub_Traductions éparses_Cahiers Gustave Roud_1982
http://rdfh.ch/0112/WOUd5GvRSwmEffmO498xwg,pub_FAKE
